date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:25	553/553	---M--	200	added ('OK')	image/svg+xml	etag:%22229-5a951843404c0%22	https://diri.isb.edu/content/dam/sites/isb/icons/leftarrow.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/leftarrow.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:25	619510/619510	---M--	200	added ('OK')	application/javascript	etag:%22973f6-5b2e3dbb5d340%22	https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.js	/home/rishabh_/websites/ISB/diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.js	(from https://diri.isb.edu/en.html)
21:29:26	549/549	---M--	200	added ('OK')	image/svg+xml	etag:%22225-5a95184528940%22	https://diri.isb.edu/content/dam/sites/isb/icons/rightarrow.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/rightarrow.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:28	146861/146861	---M--	200	added ('OK')	image/jpeg	etag:%2223dad-5a952e7261b80%22	https://diri.isb.edu/content/dam/sites/isb/images/vision-bg.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/images/vision-bg.jpg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:29	171616/171616	---M--	200	added ('OK')	image/jpeg	etag:%2229e60-5a952e7261b80%22	https://diri.isb.edu/content/dam/sites/isb/images/vision-bg-m.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/images/vision-bg-m.jpg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:30	61595/61595	---M--	200	added ('OK')	image/jpeg	etag:%22f09b-5a952e3dedfc0%22	https://diri.isb.edu/content/dam/sites/isb/images/address-bg.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/images/address-bg.jpg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:30	18646/18646	---M--	200	added ('OK')	image/jpeg	etag:%2248d6-5a952e3ee2200%22	https://diri.isb.edu/content/dam/sites/isb/images/address-bg-m.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/images/address-bg-m.jpg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:31	29061/29061	---M--	200	added ('OK')	image/jpeg	etag:%227185-5a952e5a8a340%22	https://diri.isb.edu/content/dam/sites/isb/images/mission-img01.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/images/mission-img01.jpg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:32	20602/20602	---M--	200	added ('OK')	image/jpeg	etag:%22507a-5a952e66f0080%22	https://diri.isb.edu/content/dam/sites/isb/images/mission-img01-m.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/images/mission-img01-m.jpg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:33	28464/28464	---M--	200	added ('OK')	image/jpeg	etag:%226f30-5a952e67e42c0%22	https://diri.isb.edu/content/dam/sites/isb/images/mission-img02.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/images/mission-img02.jpg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
